outcome_id,MNEMONIC,LEARNING OUTCOME
LO0071,ds5110,distinguish the use and benefits of accumulators and broadcast variables
LO0072,ds5110,build machine learning tools for the supervised learning task
LO0073,ds5110,use hyperparameter tuning in spark
LO0074,ds5110,understand the concepts behind hdfs
LO0075,ds5110,understand the concepts behind hive.
LO0076,ds5110,have some familiarity with running pyspark in a databricks notebook
LO0077,ds5110,"understand how ec2 and s3 are used for computing and storage, respectively"
LO0078,ds5110,demonstrate the steps for configuring and launching an aws ec2 instance
LO0079,ds5110,understand the capabilities of amazon glue and athena
LO0080,ds5110,understand the concepts and use cases behind apache kafka
LO0081,ds5110,create and configure an amazon s3 bucket
LO0082,ds5110,apply the concepts behind streaming systems
LO0083,ds5110,execute the spark streaming library
LO0084,ds5110,compute analytics using spark streaming
LO0085,ds5110,explain the properties of data lakes and data lakehouses
LO0086,ds5110,"explain the shortcomings of data lakes, and how data lakehouses address these shortcomings"
LO0087,ds5110,"work with apache delta lakes to implement their salient features (create, delete, update, conditional update, time travel)"
LO0088,ds5110,implement graphx and graphframes in spark
LO0089,ds6001,recognize how to get help with coding in a way that is accurate and efficient while demonstrating how to be a good citizen in online forums
LO0090,ds6001,"csv, flat files, json, from apis, and using web scraping, and loading it into python"
LO0091,ds6001,"understand the purpose, typology, and language of relational databases"
LO0092,ds6001,"understand the purpose, typology, and language of nosql databases"
LO0093,ds6001,"sqlite, postgresql, mysql, mongodb"
LO0094,ds6001,understand how to query databases with sql
LO0095,ds6001,understand how to query databases with the mongodb query language
LO0096,ds6001,"employ methods for wrangling, joining, and aggregating data using pandas"
LO0097,ds6001,"understand relationships in data using summary statistics, hypothesis tests, measurement models"
LO0098,ds6001,"understand relationships in data using visualization with matplotlib, seaborn, plotly"
LO0099,ds6002,identify situations that demand ethical responses involving data science
LO0100,ds6002,develop the skills to respond creatively to critical ethics issues in data science
LO0101,ds6003,"build knowledge about the education and training needed for a particular job, career path, and entry into the data science profession"
LO0102,ds6003,"observe, receive information, and ask questions to acquire knowledge and awareness of data science professions"
LO0103,ds6003,relate academics with the world of work by connection data science careers to program coursework
LO0104,ds6011,collect and manage data to devise solutions to assigned research projects
LO0105,ds6011,"select, apply, and evaluate models, tools, and methods to address research projects"
LO0106,ds6011,interpret and assess results and evaluate the limitations of research findings
LO0107,ds6011,"resolve group work allocation, leadership, and cooperation issues"
LO0108,ds6012,identify situations that demand ethical responses involving data science
LO0109,ds6012,develop the skills to respond creatively to critical ethics issues in data science
LO0110,ds6030,build classification and regression models for a given data set using r statistical software
LO0111,ds6030,explain the statistical theory used in data mining that affects how each type of model makes predictions
LO0112,ds6030,"for a given data set and model, determine the optimal algorithmic parameters to customize the results of the model based on practical goals"
LO0113,ds6030,"evaluate the performance of a model in terms of various factors such as accuracy, computational cost, interpretability, and practical requirements"
LO0114,ds6030,determine the most appropriate algorithm for a given data set based on the needs of the user
LO0115,ds6030,use visualization techniques to help users understand and interpret the data mining results
LO0116,ds6030,implement knn regression and classification models in r
LO0117,ds6030,build linear and nonlinear regression models in r
LO0118,ds6030,evaluate bias-variance tradeoff of linear regression method
LO0119,ds6030,"implement lr, lda, and qda classification in r"
LO0120,ds6030,implement cross-validation
LO0121,ds6030,understand the theory behind principal components
LO0122,ds6030,use principal components transformation to visualize data
LO0123,ds6030,"use regularization (shrinkage, pca, lasso) to improve regression accuracy"
LO0124,ds6030,build a cart in r and use for both classification and regression
LO0125,ds6030,build a random forest (rf) for classification and for regression in r
LO0126,ds6030,use an svm for classification and regression in r
LO0127,ds6030,use k-means clustering to explore new data in r
LO0128,ds6030,use hierarchical clustering to create and evaluate clusters in r
